,title,height,length,art_type,medium_text,date_text,age,house,fecha,price,author,performance,source,country
1332,"Untitled by Agustin Cárdenas, 1991",14.0,7.0,Cool for the Summer, marble ,1991,31,Hindman,2022-07-28,16244.0, Agustin Cárdenas,-420,Mutual Art,-
1334,"Untitled (Child in Profile) by Rafael Coronel, circa 1980",13.0,11.125,Modern Design | Art, pencil on paper ,1980,42,Bonhams,2022-07-28,1020.0, Rafael Coronel,-420,Mutual Art,-
1335,"Untitled (Child) by Rafael Coronel, circa 1980",18.0,24.0,Modern Design | Art, charcoal on paper ,1980,42,Bonhams,2022-07-28,829.0, Rafael Coronel,-420,Mutual Art,-
1337,"Tres Cabezas by José Luis Cuevas, 1983",22.0,30.0,Modern Design | Art, ink and wash on paper ,1983,39,Bonhams,2022-07-28,2804.0, José Luis Cuevas,-420,Mutual Art,-
1338,"Mercado de Carne en Hamburgo IV by José Luis Cuevas, 1973",19.0,12.5,Modern Design | Art, wash and ink on paper ,1973,49,Bonhams,2022-07-28,2422.0, José Luis Cuevas,-420,Mutual Art,-
1339,"No. 52 by Francisco Toledo, circa 1970",8.0,10.75,Modern Design | Art, color pencil on paper ,1970,52,Bonhams,2022-07-28,3187.0, Francisco Toledo,-420,Mutual Art,-
1340,"Adoradores del Macho Cabrío by José Luis Cuevas, 1983",31.0,47.75,Modern Design | Art, watercolor on paper ,1983,39,Bonhams,2022-07-28,5353.0, José Luis Cuevas,-420,Mutual Art,-
1345,"Mercado de Carne en Hamburgo by José Luis Cuevas, 1973",19.0,26.0,Modern Design | Art, ink and wash on paper ,1973,49,Bonhams,2022-07-28,2549.0, José Luis Cuevas,-420,Mutual Art,-
1346,"Untitled (Figure with Hat) by Rafael Coronel, circa 1980",11.0,8.5,Modern Design | Art, ink on paper ,1980,42,Bonhams,2022-07-28,1020.0, Rafael Coronel,-420,Mutual Art,-
1350,"Centre Noeds by Roberto Matta, 1974",23.75,17.5,Prints and Multiples, etching and aquatints in colors on Japon Nacre paper ,1974,48,"Heritage Auctions, Dallas",2022-07-27,5248.0, Roberto Matta,-420,Mutual Art,-
1353,"Morales Guerra, el fumador by José Luis Cuevas, 1979",60.96,22.5,SUBASTA DE OPORTUNIDADES 1148, Mixed technique on paper ,1979,43,"Morton Auctions, Cerro de Mayka",2022-07-23,49.0, José Luis Cuevas,-420,Mutual Art,-
1358,"Untitled by Roberto Matta, executed in 1948",9.0,13.625,Post-War & Contemporary Art Online," graphite, wax crayon and colored pencil on paper mounted on paperboard ",1948,74,Bonhams,2022-07-12,7011.0, Roberto Matta,-420,Mutual Art,-
1360,"Omnimal by Roberto Matta, 1972",41.0,5.0,MODERN AND CONTEMPORARY ART AUCTION, Etching and coloured aquatint ,1972,50,Art-Rite Auction House,2022-07-21,268.0, Roberto Matta,-420,Mutual Art,-
1361,"Sexplication suffisante by Roberto Matta, 1972",93.98,5.0,MODERN AND CONTEMPORARY ART AUCTION, Etching and coloured aquatint ,1972,50,Art-Rite Auction House,2022-07-21,328.0, Roberto Matta,-420,Mutual Art,-
1362,"Les voix by Roberto Matta, 1964",28.0,22.0,MODERN AND CONTEMPORARY ART AUCTION, Etching and coloured aquatint on Japon Impérial paper ,1964,58,Art-Rite Auction House,2022-07-21,204.0, Roberto Matta,-420,Mutual Art,-
1364,"Nature morte aux fruits, couteau et théière devant une fenêtre by Fernando Botero, 1998",91.44,5.0,"Modern, Contemporary Art & Design", Oil on canvas ,1998,24,Monte-Carlo Auction House,2022-07-20,148052.0, Fernando Botero,-420,Mutual Art,-
1374,"Untitled. by Roberto Matta, 1951",241.3,72.0,MODERN & CONTEMPORARY ART Traditional, Mixed media on canvas ,1951,71,Capitolium Art,2022-07-13,15236.0, Roberto Matta,-420,Mutual Art,-
1375,"Samotriosa/Homo flux. by Roberto Matta, 1970",304.8,205.0,MODERN & CONTEMPORARY ART Traditional, Bronze sculpture ,1970,52,Capitolium Art,2022-07-13,31741.0, Roberto Matta,-420,Mutual Art,-
1377,"MUJER INDIA (PEREDA 55) by Rufino Tamayo, 1959",30.5,21.5,Fine Art, Color lithograph ,1959,63,Doyle New York,2022-07-14,1889.0, Rufino Tamayo,-420,Mutual Art,-
1378,"SANDÍAS; COCINA by Gustavo Montoya, 1985",23.625,17.875,Fine Art, Two color screenprints ,1985,37,Doyle New York,2022-07-14,315.0, Gustavo Montoya,-420,Mutual Art,-
1379,"PEDRITO by Fernando Botero, 1975",38.25,29.5,Fine Art, Color offset lithograph ,1975,47,Doyle New York,2022-07-14,1260.0, Fernando Botero,-420,Mutual Art,-
1385,"Oaxaca. by Miguel Covarrubias, 1943",236.22,5.0,ONLINE SALE - POSTERS, Offset poster ,1943,79,Tessier & Sarrou,2022-07-12,302.0, Miguel Covarrubias,-420,Mutual Art,-
1386,"Plusieurs autres vies by Roberto Matta, 1977",66.0,51.0,Pre asta aperta, Etching and aquatint on Japon paper ,1977,45,Mediartrade Casa d'aste,2022-07-12,383.0, Roberto Matta,-420,Mutual Art,-
1387,"MUZIK-FOOT by Roberto Matta, 1990",147.32,59.0,CURIOSITIES – DISCOVERIES – HOUSE BACKROUND - SESSION 2, color lithographic box ,1990,32,Accademia Fine Art,2022-07-12,654.0, Roberto Matta,-420,Mutual Art,-
1388,"Feu, feu sur moi by Roberto Matta, 1977",66.0,51.0,Pre asta aperta, Etching and aquatint on Japon paper ,1977,45,Mediartrade Casa d'aste,2022-07-12,423.0, Roberto Matta,-420,Mutual Art,-
1392,"Hombre Contemplando la Luna by Rufino Tamayo, 1947",8.0,5.875,Summer Estate Auction., Etching and aquatint ,1947,75,Clarke Auction,2022-07-10,850.0, Rufino Tamayo,-420,Mutual Art,-
1393,"Rice Granary, Bali by Miguel Covarrubias, circa 1943",83.82000000000001,25.0,Modern and Contemporary Southeast Asian Art, lithograph ,1943,79,"Larasati Auctioneers, Singapore",2022-07-10,1428.0, Miguel Covarrubias,-420,Mutual Art,-
1398,"Le poing de jour (From: Hommage à Picasso). by Roberto Matta, 1971",124.46000000000001,5.0,Art of the 20th Century | ONLINE ONLY, Colour etching on Arches (watermark) ,1971,51,Fine Art Auctions,2022-06-28,556.0, Roberto Matta,-420,Mutual Art,-
1399,"Table lamp by Alicia Penalba, 1970s",251.46,40.0,Contemporary Design, Enameled porcelain ,1970,52,Piasa,2022-07-07,1847.0, Alicia Penalba,-420,Mutual Art,-
1407,"Les convaincus by Roberto Matta, 1976",137.16,76.0,Belle vente classique, color lithograph on paper ,1976,46,Lynda Trouvé,2022-07-07,213.0, Roberto Matta,-420,Mutual Art,-
1409,"Hombre con Perro. by Fernando Botero, 1990",144.78,5.0,July Auction: Paintings and Sculptures, Offset-Lithography on paper ,1990,32,Segre Auctions,2022-07-05,564.0, Fernando Botero,-420,Mutual Art,-
1412,"La Araucana by Roberto Matta, 1978",177.8,50.0,MODERN AND CONTEMPORARY .., drawing in colored pencils ,1978,44,Pandolfini,2022-06-28,527.0, Roberto Matta,-420,Mutual Art,-
1413,"""Pineapple"" by Enrique Grau, 1994",247.65,67.5,Graphic work and photogrphy, Silkscreen ,1994,28,Setdart,2022-07-04,, Enrique Grau,-420,Mutual Art,-
1415,"The Sea - Salt Pathway by Roberto Matta, 1970",71.12,5.0,POST-WAR AND CONTEMPORARY PRINTS - DAY 2 - LOTS 202 TO 400, Etching and aquatint ,1970,52,Ader,2022-07-01,400.0, Roberto Matta,-420,Mutual Art,-
1424,"REQUIEM POUR LA FIN DES TEMPS by Roberto Matta, 1978",152.4,73.0,LIMITED EDITIONS, Etching and aquatint in color on Arches vellum ,1978,44,Cornette de Saint Cyr,2022-06-29,817.0, Roberto Matta,-420,Mutual Art,-
1425,"Pedrito, 1975 by Fernando Botero, 1975",38.25,29.25,"Estate Jewelry, Art & Collectibles", Color Lithograph on Paper ,1975,47,Kodner Galleries,2022-06-29,325.0, Fernando Botero,-420,Mutual Art,-
1430,". An original Haitian folk art painting. A figural city landscape painting with a profusion of architectural forms and human figures by Prefete Duffaut, dated 1973",29.5,21.5,PRISM, landscape painting ,1973,49,Hill Auction Gallery,2022-06-29,1199.0, Prefete Duffaut,-420,Mutual Art,-
1435,"Droites Liberees II, III, and XIII by Roberto Matta, 1971",11.0,7.0,June Modern & Contemporary Paintings & Prints, Etchings ,1971,51,Ro Gallery,2022-06-28,1000.0, Roberto Matta,-420,Mutual Art,-
1437,"Rembrandt as a Child by José Luis Cuevas, 1988",8.0,10.0,June Modern & Contemporary Paintings & Prints, Etching ,1988,34,Ro Gallery,2022-06-28,325.0, José Luis Cuevas,-420,Mutual Art,-
1438,"Still Life by Maria Izquierdo, 1942",77.4192,40.64,Art & Prestige, Charcoal on paper ,1942,80,Champagne Auctions,2022-06-28,233.0, Maria Izquierdo,-420,Mutual Art,-
1439,"Cosmicstrip II by Roberto Matta, 1959",14.75,19.25,June Modern & Contemporary Paintings & Prints, Etching ,1959,63,Ro Gallery,2022-06-28,750.0, Roberto Matta,-420,Mutual Art,-
