DATE,TB3MS,returns
1969-08-01,6.98,-0.0028571428571427804
1969-09-01,7.09,0.015759312320916763
1969-10-01,7.0,-0.012693935119887145
1969-11-01,7.24,0.03428571428571425
1969-12-01,7.82,0.08011049723756902
1970-01-01,7.87,0.006393861892583175
1970-02-01,7.13,-0.09402795425667088
1970-03-01,6.63,-0.07012622720897621
1970-04-01,6.51,-0.018099547511312264
1970-05-01,6.84,0.05069124423963145
1970-06-01,6.68,-0.023391812865497075
1970-07-01,6.45,-0.034431137724550864
1970-08-01,6.41,-0.006201550387596955
1970-09-01,6.12,-0.04524180967238689
1970-10-01,5.91,-0.03431372549019607
1970-11-01,5.28,-0.10659898477157359
1970-12-01,4.87,-0.07765151515151514
1971-01-01,4.44,-0.08829568788501019
1971-02-01,3.7,-0.16666666666666674
1971-03-01,3.38,-0.0864864864864866
1971-04-01,3.86,0.1420118343195267
1971-05-01,4.14,0.07253886010362698
1971-06-01,4.75,0.1473429951690821
1971-07-01,5.4,0.13684210526315788
1971-08-01,4.94,-0.08518518518518514
1971-09-01,4.69,-0.05060728744939269
1971-10-01,4.46,-0.04904051172707902
1971-11-01,4.22,-0.053811659192825156
1971-12-01,4.01,-0.049763033175355464
1972-01-01,3.38,-0.15710723192019949
1972-02-01,3.2,-0.053254437869822424
1972-03-01,3.73,0.1656249999999999
1972-04-01,3.71,-0.00536193029490617
1972-05-01,3.69,-0.005390835579514808
1972-06-01,3.91,0.05962059620596216
1972-07-01,3.98,0.01790281329923271
1972-08-01,4.02,0.010050251256281229
1972-09-01,4.66,0.15920398009950265
1972-10-01,4.74,0.017167381974249052
1972-11-01,4.78,0.00843881856540074
1972-12-01,5.07,0.060669456066945626
1973-01-01,5.41,0.0670611439842208
1973-02-01,5.6,0.03512014787430684
1973-03-01,6.09,0.08750000000000013
1973-04-01,6.26,0.02791461412151075
1973-05-01,6.36,0.015974440894568787
1973-06-01,7.19,0.13050314465408808
1973-07-01,8.01,0.11404728789986085
1973-08-01,8.67,0.08239700374531833
1973-09-01,8.29,-0.04382929642445221
1973-10-01,7.22,-0.12907117008443902
1973-11-01,7.83,0.08448753462603875
1973-12-01,7.45,-0.048531289910600295
1974-01-01,7.77,0.04295302013422808
1974-02-01,7.12,-0.08365508365508356
1974-03-01,7.96,0.1179775280898876
1974-04-01,8.33,0.04648241206030157
1974-05-01,8.23,-0.012004801920768249
1974-06-01,7.9,-0.04009720534629402
1974-07-01,7.55,-0.044303797468354444
1974-08-01,8.96,0.18675496688741733
1974-09-01,8.06,-0.1004464285714286
1974-10-01,7.46,-0.07444168734491319
1974-11-01,7.47,0.0013404825737264314
1974-12-01,7.15,-0.042838018741633066
1975-01-01,6.26,-0.12447552447552457
1975-02-01,5.5,-0.12140575079872207
1975-03-01,5.49,-0.0018181818181818299
1975-04-01,5.61,0.021857923497267784
1975-05-01,5.23,-0.06773618538324422
1975-06-01,5.34,0.021032504780114536
1975-07-01,6.13,0.14794007490636707
1975-08-01,6.44,0.05057096247960846
1975-09-01,6.42,-0.0031055900621118626
1975-10-01,5.96,-0.07165109034267914
1975-11-01,5.48,-0.08053691275167774
1975-12-01,5.44,-0.007299270072992692
1976-01-01,4.87,-0.10477941176470595
1976-02-01,4.88,0.002053388090349051
1976-03-01,5.0,0.024590163934426146
1976-04-01,4.86,-0.027999999999999914
1976-05-01,5.2,0.06995884773662553
1976-06-01,5.41,0.04038461538461546
1976-07-01,5.23,-0.03327171903881698
1976-08-01,5.14,-0.017208413001912226
1976-09-01,5.08,-0.011673151750972721
1976-10-01,4.92,-0.03149606299212604
1976-11-01,4.75,-0.03455284552845528
1976-12-01,4.35,-0.08421052631578951
1977-01-01,4.62,0.0620689655172415
1977-02-01,4.67,0.010822510822510845
1977-03-01,4.6,-0.014989293361884481
1977-04-01,4.54,-0.01304347826086949
1977-05-01,4.96,0.09251101321585908
1977-06-01,5.02,0.012096774193548265
1977-07-01,5.19,0.033864541832669515
1977-08-01,5.49,0.057803468208092346
1977-09-01,5.81,0.05828779599271394
1977-10-01,6.16,0.06024096385542177
1977-11-01,6.1,-0.009740259740259827
1977-12-01,6.07,-0.004918032786885185
1978-01-01,6.44,0.060955518945634335
1978-02-01,6.45,0.0015527950310558758
1978-03-01,6.29,-0.024806201550387597
1978-04-01,6.29,0.0
1978-05-01,6.41,0.019077901430842648
1978-06-01,6.73,0.0499219968798752
1978-07-01,7.01,0.04160475482912318
1978-08-01,7.08,0.009985734664764712
1978-09-01,7.85,0.10875706214689251
1978-10-01,7.99,0.017834394904458595
1978-11-01,8.64,0.081351689612015
1978-12-01,9.08,0.05092592592592582
1979-01-01,9.35,0.029735682819383102
1979-02-01,9.32,-0.0032085561497325887
1979-03-01,9.48,0.017167381974249052
1979-04-01,9.46,-0.002109704641350185
1979-05-01,9.61,0.01585623678646919
1979-06-01,9.06,-0.05723204994797071
1979-07-01,9.24,0.01986754966887405
