pais,categoria,tematica,tecnica,soporte,medidas,fecha,etiquetas,precio,obra,autor,link
Espana,Pintura,Oleo,Paisaje,Lienzo,195 x 200 cm,Artelista desde: 16 de Mayo de 2018,"cielo, atmosfera, abstraccion",300.042 MX$,AURORA,Alberto romero villalba,https://www.artelista.com/obra/1424442952628923-aurora.html
Espana,Pintura,Paisaje,Acrilico,Lienzo,69 x 70 cm,Artelista desde: 20 de Febrero de 2018,"cuerdas, movil, phone, concierto, virtual, violonchelo",112.016 MX$,Serenata virtual.,Carmelo ( Carmelohijo). Gonzalez Gutierrez,https://www.artelista.com/obra/8068989390389247-serenata-virtual.html
Mexico,Pintura,Lienzo,Oleo,Retrato,100 x 120 cm,Artelista desde: 17 de Enero de 2018,"david, miguel angel, estatua, historia, pop art",13.200 MX$,Deivid,laurence molina,https://www.artelista.com/obra/7955693652409465-deivid.html
Espana,Pintura,Bodegones,Otros,Tabla,120 x 80 cm,Artelista desde: 6 de Noviembre de 2017,"refrescos, latas, nyc, new york, hielo",Obra vendida,New York #48,Socrates Rizquez,https://www.artelista.com/obra/8455746161765334-new-york-48.html
Chile,Pintura,Otros,Oleo,Tela,104 x 135 cm,Artelista desde: 8 de Noviembre de 2017,"dolor, injusticia, engano",165.103 MX$,Escuela Santa Maria de Iquique,Roxana Werner,https://www.artelista.com/obra/3551773312920632-escuela-santa-maria-de-iquique.html
Reino Unido,Pintura,Lienzo,Oleo,Retrato,65 x 90 cm,Artelista desde: 21 de Septiembre de 2017,"retrato, india, David Agenjo",146.474 MX$,Kolam Artist,David Agenjo,https://www.artelista.com/obra/8523735773726390-kolam-artist.html
Mexico,Pintura,Papel,Acuarela,Marina,36 x 27 cm,Artelista desde: 18 de Junio de 2017,"amanecer, velero, mar",6.655 MX$,HACIA EL HORIZONTE,Luis Armida ,https://www.artelista.com/obra/9268079270364664-hacia-el-horizonte.html
Reino Unido,Pintura,Lienzo,Oleo,Bodegones,91 x 71 cm,Artelista desde: 21 de Septiembre de 2017,"bolsa, plastico, basura, color, David Agenjo",Obra vendida,Bin Bag,David Agenjo,https://www.artelista.com/obra/3204964255662394-bin-bag.html
Espana,Pintura,Lienzo,Oleo,Marina,195 x 130 cm,Artelista desde: 17 de Octubre de 2017,"mediterraneo, paisaje, mar",270.038 MX$,Son Beltran,ANGELES CERECEDA MARTINEZ,https://www.artelista.com/obra/4325556685497597-son-beltran.html
Espana,Pintura,Tabla,Media Mixta,Retrato,160 x 140 cm,Artelista desde: 23 de Noviembre de 2017,"gato, cat, retrato, portrait, japan, japon",Obra vendida,Soy un gato,Adrian GoMa,https://www.artelista.com/obra/6356034329657020-soy-un-gato.html
